id,front,back,image,audio,example,tags,phonetic,word_breakdown,usage_note,pattern_examples,pattern_examples_en
w013,Dw i ddim yn gwybod,I don’t know,media/image/Dw i ddim yn gwybod.png,media/audio/Dw i ddim yn gwybod (1).m4a,"Sori, dw i ddim yn gwybod.",conversation,Doo een thim un GWEE-dohd,"Dw i ddim = I am not, yn gwybod = know",Used when you don’t know something; works in all contexts.,"Dw i ddim yn gwybod / Sori, dw i ddim yn gwybod",I don’t know / Sorry, I don’t know
w014,Beth yw dy enw di?,What’s your name?,media/image/Beth yw dy enw di.png,media/audio/Beth yw dy enw di .m4a,"Beth yw dy enw di?",intro,Beth yoo duh EN-oo dee,"Beth = what, yw = is, dy = your, enw = name, di = you",Informal way to ask someone’s name.,Beth yw dy enw di? / Beth yw eich enw chi?,What’s your name? / What’s your name? (formal/plural)
w015,Enw fi yw Luke,My name is Luke,media/image/Enw fi yw Luke.png,media/audio/Enw fi yw Luke.m4a,"Enw fi yw Luke.","intro,personal",En-oo vee yoo Luke,"Enw = name, fi = me, yw = is, Luke = Luke",Use to give your name; replace Luke with your own.,Enw fi yw Sara / Enw fi yw Rhys,My name is Sara / My name is Rhys
w016,Braf cwrdd â ti,Nice to meet you,media/image/Braf cwrdd â ti.png,media/audio/Braf cwrdd â ti.m4a,"Braf cwrdd â ti heddiw.",intro,Braf koord ah tee,"Braf = nice, cwrdd â = meet, ti = you",Informal 'nice to meet you'; for formal use 'Braf cwrdd â chi'.,Braf cwrdd â ti / Braf cwrdd â chi,Nice to meet you / Nice to meet you (formal)
w017,Dw i’n byw yn Port Talbot,I live in Port Talbot,media/image/Dw i’n byw yn Port Talbot.png,media/audio/Dw i n byw yn Port T.m4a,"Dw i’n byw yn Port Talbot.","location,personal",Doo een biw un Port TAL-bot,"Dw i’n = I am, byw = live, yn = in, Port Talbot = Port Talbot",States where you live; can be adapted for other locations.,Dw i’n byw yng Nghaerdydd / Dw i’n byw yn Abertawe,I live in Cardiff / I live in Swansea
w018,A ti?,And you?,media/image/A ti.png,media/audio/A ti .m4a,"Dw i’n iawn. A ti?",conversation,Ah tee,"A = and, ti = you",Informal way to say 'and you?' in conversation.,Dw i’n iawn. A ti? / Da iawn. A ti?,I’m fine. And you? / Very good. And you?
w019,Os gwelwch yn dda,Please (formal),media/image/Os gwelwch yn dda.png,media/audio/Os gwelwch yn dda.m4a,"Os gwelwch yn dda, gallwch chi helpu?",polite,Os GWEH-looKH un tha,"Os = if, gwelwch = see, yn dda = good",Polite way to say please (formal); use with strangers or in formal settings.,Os gwelwch yn dda / Os gweli di’n dda,Please (formal) / Please (informal)
w020,Dw i’n dysgu Cymraeg,I am learning Welsh,media/image/Dw i’n dysgu Cymraeg.png,media/audio/Dw i n dysgu Cymraeg.m4a,"Dw i’n dysgu Cymraeg bob dydd.",learning,Doo een DUSS-gee Kum-ryeg,"Dw i’n = I am, dysgu = learning, Cymraeg = Welsh",Use to say you are learning Welsh; good for introducing yourself as a learner.,Dw i’n dysgu Cymraeg / Dw i’n dysgu ychydig o Gymraeg,I’m learning Welsh / I’m learning a little Welsh
w021,Dw i’n byw yng Nghymru,I live in Wales,media/image/Dw i’n byw yng Nghymru.png,media/audio/Dw i n byw yng Nghym.m4a,"Dw i’n byw yng Nghymru.",location,Doo een biw ung KHUM-ree,"Dw i’n = I am, byw = live, yng = in, Cymru = Wales","States you live in Wales; 'yng' triggers nasal mutation.",Dw i’n byw yng Nghymru / Dw i’n byw yn Lloegr,I live in Wales / I live in England
w022,Wyt ti’n siarad Cymraeg?,Do you speak Welsh? (informal),media/image/Wyt ti’n siarad Cymraeg.png,media/audio/Wyt ti n siarad Cymr.m4a,"Wyt ti’n siarad Cymraeg?","learning,question",Oyt tee un SHAR-ad Kum-ryeg,"Wyt = are, ti = you, yn = (present tense marker), siarad = speak, Cymraeg = Welsh",Informal way to ask if someone speaks Welsh.,Wyt ti’n siarad Cymraeg? / Ydych chi’n siarad Cymraeg?,Do you speak Welsh? (informal) / Do you speak Welsh? (formal/plural)
w023,Dw i’n dysgu ychydig,I’m learning a little,media/image/Dw i’n dysgu ychydig.png,media/audio/Dw i n dysgu ychydig.m4a,"Dw i’n dysgu ychydig o Gymraeg.",learning,Doo een DUSS-gee uh-CHID-ig,"Dw i’n = I am, dysgu = learning, ychydig = a little",Used to say you are learning a little; can be about Welsh or another subject.,Dw i’n dysgu ychydig o Gymraeg / Dw i’n dysgu ychydig o Ffrangeg,I’m learning a little Welsh / I’m learning a little French
w024,Dw i’n newydd ddechrau,I have just started,media/image/Dw i’n newydd ddechrau.png,media/audio/Dw i n newydd ddechr.m4a,"Dw i’n newydd ddechrau dysgu.",learning,Doo een NAY-wyth THEKH-rye,"Dw i’n = I am, newydd = new/just, dechrau = start","Means you have just started something; 'dechrau' soft-mutates to 'ddechrau'.",Dw i’n newydd ddechrau dysgu / Dw i’n newydd ddechrau gweithio,I’ve just started learning / I’ve just started working
w025,Mae’n bwrw glaw,It’s raining,media/image/Mae’n bwrw glaw.png,media/audio/Mae n bwrw glaw.m4a,"Mae’n bwrw glaw heddiw.",weather,Mine BOO-roo glah-oo,"Mae’n = it is, bwrw = throwing, glaw = rain","Literal meaning 'it is throwing rain'; means 'it’s raining'.",Mae’n bwrw glaw / Mae’n bwrw eira,It’s raining / It’s snowing
w026,Mae’n heulog,It’s sunny,media/image/Mae’n heulog.png,media/audio/Mae n heulog.m4a,"Mae’n heulog yn y prynhawn.",weather,Mine HAY-log,"Mae’n = it is, heulog = sunny",Describes sunny weather; can be used in small talk.,Mae’n heulog heddiw / Mae’n braf heddiw,It’s sunny today / It’s nice today
w027,Dw i’n oer,I’m cold,media/image/Dw i’n oer.png,media/audio/Dw i n oer.m4a,"Dw i’n oer heddiw.",feelings,Doo een oyre,"Dw i’n = I am, oer = cold",Used to say you feel cold; common in daily conversation.,Dw i’n oer heddiw / Mae hi’n oer,I’m cold today / It’s cold
w028,Dw i’n boeth,I’m hot,media/image/Dw i’n boeth.png,media/audio/Dw i n boeth.m4a,"Mae hi’n boeth iawn.",feelings,Doo een boyth,"Dw i’n = I am, boeth = hot",Used to say you feel hot; common in weather or physical exertion contexts.,Dw i’n boeth heddiw / Mae hi’n boeth iawn,I’m hot today / It’s very hot
w029,Dw i’n sychedig,I’m thirsty,media/image/Dw i’n sychedig.png,media/audio/Dw i n sychedig.m4a,"Dw i’n sychedig ar ôl rhedeg.",feelings,Doo een suh-KHED-ig,"Dw i’n = I am, sychedig = thirsty",Used to say you are thirsty; common in casual speech.,Dw i’n sychedig ar ôl rhedeg / Mae syched arna i,I’m thirsty after running / I am thirsty
